icao24,callsign,origin_country,longitude,latitude,baro_altitude,velocity,heading,vertical_rate,geo_altitude,speed_diff,alt_diff,movement
a46cc1,UAL595  ,United States,-99.9109,40.6212,10058.4,268.88,78.97,0.0,10149.84,94.51999999999998,6728.46,1
a46ce1,UAL343  ,United States,-97.3024,42.3907,10363.2,197.76,274.92,0.0,10424.16,-71.12,274.3199999999997,1
a46d47,UAL1976 ,United States,-72.9874,41.8001,10363.2,197.49,240.16,0.0,10378.44,-0.2699999999999818,-45.719999999999345,1
a46d4a,UAL496  ,United States,-96.7528,30.6904,7459.98,224.59,104.32,-11.05,7802.88,27.099999999999994,-2575.5600000000004,1
a46d4f,UAL2194 ,United States,-118.5472,33.87,1341.12,141.89,225.88,13.33,1356.36,-82.70000000000002,-6446.52,1
a46d95,UAL1353 ,United States,-82.5309,27.9719,0.0,0.0,92.81,0.0,0.0,-141.89,-1356.36,0
a46e35,DAL1004 ,United States,-97.6314,33.985,10972.8,207.33,270.43,0.0,11308.08,207.33,11308.08,1
a4705b,N3851C  ,United States,-94.6359,44.3333,1775.46,90.94,278.13,0.0,1783.08,-116.39000000000001,-9525.0,1
a4719a,CNS45   ,United States,-118.1451,33.9406,5806.44,90.66,334.45,4.55,6004.56,-0.28000000000000114,4221.4800000000005,1
a471a8,VAR386  ,United States,-112.8433,33.3067,1234.44,63.53,248.63,2.28,1242.06,-27.129999999999995,-4762.5,1
a471db,N386CW  ,United States,-82.3982,37.1691,12496.8,254.89,58.62,-0.33,12725.4,191.35999999999999,11483.34,1
a471ec,DAL2396 ,United States,-79.5283,28.3251,7551.42,242.78,192.36,-13.0,7924.8,-12.109999999999985,-4800.599999999999,1
a47206,EPI386  ,United States,-82.5015,29.2925,1676.4,46.54,156.55,-2.93,1775.46,-196.24,-6149.34,1
a4732c,SLH386  ,United States,-105.6958,40.3681,12496.8,240.39,81.38,0.0,12626.34,193.85,10850.880000000001,1
a47364,UPS5196 ,United States,-94.735,38.8954,11582.4,195.14,259.52,0.0,11780.52,-45.25,-845.8199999999997,1
a47551,N387AF  ,United States,-112.3669,40.8602,2164.08,55.82,279.55,-1.3,2240.28,-139.32,-9540.24,1
a475a3,DAL1305 ,United States,-73.8597,40.7694,0.0,1.03,14.06,0.0,0.0,-54.79,-2240.28,0
a476ba,EJA387  ,United States,-101.4578,37.4808,13098.78,196.01,307.32,-0.65,13335.0,194.98,13335.0,1
a47809,UAL217  ,United States,-74.1828,40.6843,0.0,1.03,185.62,0.0,0.0,-194.98,-13335.0,0
a4795a,DAL2454 ,United States,-73.8784,40.7803,0.0,0.0,33.75,0.0,0.0,-1.03,0.0,0
a4795e,DSU24   ,United States,-90.7237,33.7206,411.48,69.3,331.15,-2.6,457.2,69.3,457.2,1
a47abb,N388TR  ,United States,-104.3139,41.2419,12496.8,255.67,75.43,0.0,12618.72,186.37,12161.519999999999,1
a47c72,N3888   ,United States,-114.4976,41.4442,9144.0,182.45,210.69,0.0,9258.3,-73.22,-3360.42,1
a47cf9,CAP1676 ,United States,-90.0042,30.2054,541.02,58.64,277.56,-0.98,594.36,-123.80999999999999,-8663.939999999999,1
a47d05,DAL1248 ,United States,-79.5001,37.4068,10347.96,208.3,229.31,-3.58,10614.66,149.66000000000003,10020.3,1
a47d69,ASA899  ,United States,-122.4965,47.3087,2080.26,133.88,272.42,1.3,2087.88,-74.42000000000002,-8526.779999999999,1
a47e28,EJA389  ,United States,-79.7007,33.2026,12192.0,222.53,215.31,0.0,12504.42,88.65,10416.54,1
a47fde,UAL181  ,United States,-93.4238,50.4731,11582.4,237.74,218.23,0.0,11193.78,15.210000000000008,-1310.6399999999994,1
a48125,N39HF   ,United States,-80.6789,27.8813,220.98,70.22,169.02,-0.65,289.56,-167.52,-10904.220000000001,1
a48269,N39WE   ,United States,-111.7317,33.2146,678.18,71.61,37.12,0.65,670.56,1.3900000000000006,380.99999999999994,1
a48321,DAL1077 ,United States,-74.976,39.4336,9883.14,220.14,218.26,9.1,10043.16,148.52999999999997,9372.6,1
a4832e,N390EA  ,United States,-118.6362,34.4513,2400.3,46.96,335.4,3.25,2476.5,-173.17999999999998,-7566.66,1
a48438,EJA390  ,United States,-101.5225,45.0277,13106.4,190.45,290.39,0.33,13068.3,143.48999999999998,10591.8,1
a48713,LXJ391  ,United States,-116.2438,33.4504,12496.8,209.02,98.35,1.95,12832.08,18.57000000000002,-236.21999999999935,1
a48837,N391TP  ,United States,-84.9572,31.3678,1211.58,59.2,268.01,-2.93,1310.64,-149.82,-11521.44,1
a48a8f,DAL1963 ,United States,-84.1571,26.9708,11277.6,235.79,32.16,0.0,11742.42,176.58999999999997,10431.78,1
